,OccupiedSpaces,FreeSpaces,NumDrivers,CarsInside,CarsWaitingAtGate,ParkingOccupancy,AvgParkingOccupancy
0,0,100,0,0,0,0.0,0.0
1,0,100,0,0,0,0.0,0.0
2,0,100,0,0,0,0.0,0.0
3,0,100,0,0,0,0.0,0.0
4,0,100,0,0,0,0.0,0.0
5,0,100,0,0,0,0.0,0.0
6,0,100,0,0,0,0.0,0.0
7,0,100,0,0,0,0.0,0.0
8,0,100,0,0,0,0.0,0.0
9,0,100,0,0,0,0.0,0.0
10,0,100,0,0,0,0.0,0.0
11,0,100,0,0,0,0.0,0.0
12,0,100,0,0,0,0.0,0.0
13,0,100,0,0,0,0.0,0.0
14,0,100,0,0,0,0.0,0.0
15,0,100,0,0,0,0.0,0.0
16,0,100,1,0,0,0.0,0.0
17,0,100,1,0,0,0.0,0.0
18,0,100,1,0,0,0.0,0.0
19,0,100,1,0,0,0.0,0.0
20,0,100,2,0,0,0.0,0.0
21,0,100,2,0,0,0.0,0.0
22,0,100,2,0,0,0.0,0.0
23,0,100,2,0,0,0.0,0.0
24,0,100,2,0,0,0.0,0.0
25,0,100,2,0,0,0.0,0.0
26,0,100,2,0,0,0.0,0.0
27,0,100,2,0,0,0.0,0.0
28,0,100,2,0,0,0.0,0.0
29,0,100,2,0,0,0.0,0.0
30,0,100,3,0,0,0.0,0.0
31,0,100,3,0,0,0.0,0.0
32,0,100,3,0,0,0.0,0.0
33,0,100,3,0,0,0.0,0.0
34,0,100,3,0,0,0.0,0.0
35,0,100,3,0,0,0.0,0.0
36,0,100,3,0,0,0.0,0.0
37,0,100,3,0,0,0.0,0.0
38,0,100,4,0,0,0.0,0.0
39,0,100,5,0,0,0.0,0.0
40,0,100,5,0,1,0.0,0.0
41,0,100,5,0,0,0.0,0.0
42,0,100,5,0,0,0.0,0.0
43,0,100,5,0,0,0.0,0.0
44,0,100,5,0,0,0.0,0.0
45,0,100,6,0,0,0.0,0.0
46,0,100,6,0,0,0.0,0.0
47,0,100,6,0,0,0.0,0.0
48,0,100,7,0,0,0.0,0.0
49,0,100,7,0,0,0.0,0.0
50,0,100,7,0,0,0.0,0.0
51,0,100,7,1,0,0.0,0.0
52,0,100,7,1,0,0.0,0.0
53,0,100,8,1,0,0.0,0.0
54,0,100,8,1,0,0.0,0.0
55,0,100,8,2,0,0.0,0.0
56,0,100,8,2,0,0.0,0.0
57,0,100,8,2,0,0.0,0.0
58,0,100,8,2,0,0.0,0.0
59,0,100,8,2,0,0.0,0.0
60,0,100,8,2,0,0.0,0.0
61,0,100,8,2,0,0.0,0.0
62,0,100,9,2,0,0.0,0.0
63,0,100,9,2,0,0.0,0.0
64,1,99,10,2,0,0.01,0.00015384615384615385
65,1,99,11,3,0,0.01,0.00030303030303030303
66,1,99,12,3,0,0.01,0.00044776119402985075
67,1,99,12,3,1,0.01,0.0005882352941176471
68,1,99,12,3,1,0.01,0.0007246376811594203
69,2,98,13,3,0,0.02,0.001
70,2,98,13,3,0,0.02,0.001267605633802817
71,2,98,14,3,0,0.02,0.001527777777777778
72,2,98,15,3,1,0.02,0.0017808219178082193
73,2,98,16,4,0,0.02,0.002027027027027027
74,2,98,16,4,2,0.02,0.0022666666666666664
75,3,97,17,5,1,0.03,0.002631578947368421
76,3,97,18,5,0,0.03,0.002987012987012987
77,3,97,19,5,3,0.03,0.0033333333333333335
78,3,97,19,5,4,0.03,0.0036708860759493674
79,3,97,19,5,2,0.03,0.004000000000000001
80,3,97,19,6,1,0.03,0.004320987654320989
81,3,97,20,6,2,0.03,0.004634146341463416
82,3,97,21,6,2,0.03,0.00493975903614458
83,4,96,21,7,2,0.04,0.005357142857142859
84,4,96,21,7,1,0.04,0.005764705882352943
85,5,95,22,7,1,0.05,0.006279069767441862
86,5,95,23,7,1,0.05,0.006781609195402301
87,6,94,23,7,3,0.06,0.007386363636363638
88,6,94,24,8,2,0.06,0.007977528089887642
89,6,94,25,8,1,0.06,0.008555555555555558
90,7,93,25,8,2,0.07,0.009230769230769233
91,7,93,26,8,2,0.07,0.009891304347826091
92,8,92,27,8,2,0.08,0.010645161290322584
93,8,92,27,8,3,0.08,0.011382978723404259
94,8,92,28,8,2,0.08,0.01210526315789474
95,8,92,28,8,4,0.08,0.012812500000000004
96,8,92,28,8,2,0.08,0.013505154639175263
97,8,92,29,9,2,0.08,0.01418367346938776
98,8,92,29,9,3,0.08,0.014848484848484856
99,8,92,29,9,2,0.08,0.015500000000000007
100,8,92,29,10,4,0.08,0.016138613861386146
101,9,91,29,10,2,0.09,0.016862745098039224
102,9,91,30,11,2,0.09,0.01757281553398059
103,9,91,30,11,2,0.09,0.01826923076923078
104,9,91,31,12,1,0.09,0.018952380952380964
105,9,91,32,12,2,0.09,0.01962264150943397
106,9,91,33,13,1,0.09,0.020280373831775708
107,10,90,34,13,5,0.1,0.021018518518518527
108,10,90,34,13,4,0.1,0.021743119266055055
109,11,89,34,14,3,0.11,0.022545454545454553
110,11,89,35,14,4,0.11,0.02333333333333334
111,11,89,35,14,3,0.11,0.02410714285714286
112,11,89,36,15,5,0.11,0.024867256637168145
113,11,89,37,15,6,0.11,0.0256140350877193
114,12,88,37,15,5,0.12,0.026434782608695657
115,12,88,37,16,6,0.12,0.027241379310344833
116,12,88,38,16,6,0.12,0.02803418803418804
117,13,87,38,17,4,0.13,0.02889830508474577
118,13,87,39,17,3,0.13,0.02974789915966387
119,13,87,40,18,6,0.13,0.030583333333333337
120,16,84,40,18,7,0.16,0.031652892561983476
121,16,84,41,18,7,0.16,0.03270491803278689
122,17,83,41,19,8,0.17,0.03382113821138212
123,17,83,42,19,5,0.17,0.034919354838709685
124,17,83,42,19,8,0.17,0.036000000000000004
125,17,83,43,20,7,0.17,0.03706349206349207
126,17,83,43,20,7,0.17,0.038110236220472445
127,18,82,43,21,8,0.18,0.039218750000000004
128,18,82,43,21,7,0.18,0.040310077519379844
129,18,82,44,21,7,0.18,0.04138461538461538
130,18,82,45,22,7,0.18,0.042442748091603054
131,18,82,46,22,5,0.18,0.04348484848484848
132,18,82,47,23,7,0.18,0.04451127819548872
133,19,81,47,23,10,0.19,0.04559701492537313
134,19,81,48,24,10,0.19,0.04666666666666667
135,19,81,48,24,7,0.19,0.04772058823529412
136,20,80,48,24,8,0.2,0.048832116788321174
137,20,80,49,25,10,0.2,0.04992753623188406
138,20,80,49,25,8,0.2,0.05100719424460432
139,21,79,50,26,7,0.21,0.05214285714285715
140,22,78,51,26,8,0.22,0.05333333333333334
141,23,77,52,27,9,0.23,0.0545774647887324
142,24,76,53,27,9,0.24,0.05587412587412588
143,25,75,54,28,9,0.25,0.05722222222222224
144,25,75,54,28,12,0.25,0.05855172413793105
145,25,75,54,28,9,0.25,0.05986301369863015
146,25,75,54,29,13,0.25,0.06115646258503403
147,25,75,55,29,9,0.25,0.06243243243243245
148,26,74,55,30,13,0.26,0.06375838926174497
149,26,74,55,30,12,0.26,0.06506666666666668
150,27,73,55,31,10,0.27,0.06642384105960265
151,27,73,55,31,11,0.27,0.06776315789473684
152,27,73,55,32,8,0.27,0.06908496732026144
153,27,73,56,32,9,0.27,0.07038961038961039
154,27,73,57,32,11,0.27,0.0716774193548387
155,28,72,58,33,10,0.28,0.0730128205128205
156,28,72,58,33,7,0.28,0.0743312101910828
157,28,72,58,33,7,0.28,0.07563291139240505
158,29,71,59,34,10,0.29,0.07698113207547168
159,31,69,59,34,7,0.31,0.07843749999999998
160,32,68,60,35,9,0.32,0.07993788819875774
161,31,69,61,35,9,0.31,0.08135802469135801
162,31,69,61,35,11,0.31,0.082760736196319
163,31,69,62,36,13,0.31,0.08414634146341463
164,31,69,63,36,10,0.31,0.08551515151515152
165,32,68,64,36,12,0.32,0.08692771084337349
166,32,68,65,37,15,0.32,0.08832335329341318
167,32,68,66,37,11,0.32,0.08970238095238095
168,33,67,67,38,11,0.33,0.09112426035502959
169,33,67,67,38,13,0.33,0.09252941176470589
170,34,66,68,39,13,0.34,0.0939766081871345
171,34,66,69,39,14,0.34,0.09540697674418605
172,34,66,69,40,14,0.34,0.0968208092485549
173,34,66,69,40,18,0.34,0.0982183908045977
174,35,65,70,41,13,0.35,0.09965714285714286
175,35,65,70,41,16,0.35,0.10107954545454546
176,35,65,71,42,14,0.35,0.10248587570621472
177,35,65,72,42,16,0.35,0.10387640449438205
178,35,65,73,42,16,0.35,0.10525139664804473
179,36,64,73,42,14,0.36,0.1066666666666667
180,36,64,74,42,13,0.36,0.10806629834254147
181,37,63,74,42,19,0.37,0.10950549450549454
182,39,61,75,43,15,0.39,0.11103825136612026
183,40,60,75,43,20,0.4,0.11260869565217395
184,41,59,75,44,16,0.41,0.11421621621621625
185,41,59,76,44,18,0.41,0.11580645161290326
186,41,59,77,45,17,0.41,0.11737967914438506
187,41,59,77,45,16,0.41,0.118936170212766
188,41,59,78,45,15,0.41,0.12047619047619051
189,41,59,79,46,18,0.41,0.12200000000000004
190,42,58,79,46,19,0.42,0.12356020942408381
191,42,58,80,46,18,0.42,0.1251041666666667
192,42,58,80,47,20,0.42,0.12663212435233168
193,43,57,81,47,21,0.43,0.12819587628865986
194,43,57,82,47,18,0.43,0.1297435897435898
195,43,57,82,48,18,0.43,0.13127551020408168
196,43,57,82,48,20,0.43,0.1327918781725889
197,43,57,83,49,20,0.43,0.13429292929292935
198,44,56,84,49,20,0.44,0.13582914572864327
199,44,56,84,50,22,0.44,0.13735000000000006
200,45,55,85,50,20,0.45,0.138905472636816
201,45,55,85,51,19,0.45,0.14044554455445551
202,45,55,85,51,18,0.45,0.14197044334975376
203,45,55,85,52,21,0.45,0.14348039215686278
204,46,54,85,52,18,0.46,0.14502439024390248
205,46,54,85,53,15,0.46,0.1465533980582525
206,46,54,85,53,16,0.46,0.1480676328502416
207,48,52,86,53,13,0.48,0.1496634615384616
208,49,51,87,54,19,0.49,0.1512918660287082
209,50,50,88,54,20,0.5,0.152952380952381
210,50,50,89,55,16,0.5,0.1545971563981043
211,50,50,89,55,19,0.5,0.15622641509433968
212,50,50,90,56,20,0.5,0.15784037558685451
213,51,49,90,56,17,0.51,0.15948598130841127
214,51,49,90,57,23,0.51,0.16111627906976747
215,52,48,90,57,23,0.52,0.16277777777777783
216,52,48,90,57,14,0.52,0.1644239631336406
217,53,47,90,58,19,0.53,0.16610091743119273
218,53,47,91,58,18,0.53,0.16776255707762563
219,53,47,92,59,19,0.53,0.16940909090909098
220,54,46,92,59,18,0.54,0.1710859728506788
221,54,46,93,59,18,0.54,0.17274774774774782
222,54,46,94,60,18,0.54,0.17439461883408078
223,54,46,94,60,17,0.54,0.1760267857142858
224,54,46,94,60,20,0.54,0.1776444444444445
225,55,45,94,61,20,0.55,0.17929203539823013
226,55,45,94,61,19,0.55,0.18092511013215862
227,55,45,94,62,18,0.55,0.1825438596491228
228,56,44,95,62,15,0.56,0.18419213973799128
229,56,44,95,63,19,0.56,0.18582608695652178
230,58,42,95,63,17,0.58,0.18753246753246758
231,58,42,96,64,19,0.58,0.18922413793103451
232,60,40,96,64,18,0.6,0.19098712446351934
233,60,40,96,65,14,0.6,0.19273504273504277
234,60,40,97,65,17,0.6,0.19446808510638303
235,61,39,98,66,21,0.61,0.19622881355932206
236,61,39,98,66,21,0.61,0.19797468354430384
237,61,39,99,66,16,0.61,0.1997058823529412
238,61,39,99,67,16,0.61,0.20142259414225944
239,61,39,100,67,17,0.61,0.20312500000000003
240,62,38,101,67,17,0.62,0.2048547717842324
241,62,38,102,68,21,0.62,0.20657024793388432
242,62,38,102,68,17,0.62,0.2082716049382716
243,62,38,103,69,23,0.62,0.2099590163934426
244,62,38,103,69,22,0.62,0.21163265306122447
245,63,37,103,70,20,0.63,0.21333333333333332
246,63,37,104,70,23,0.63,0.21502024291497976
247,64,36,105,70,20,0.64,0.21673387096774194
